size,amount,matchSize,plugins,usefulMatches,totalMatches
16,3,7,"nFish, pointingArrows, removeByElements",170,1260
16,3,12,"nFish, pointingArrows, removeByElements",0,50
16,3,9,"nFish, pointingArrows, removeByElements",23,286
16,3,10,"nFish, pointingArrows, removeByElements",8,198
16,3,8,"nFish, pointingArrows, removeByElements",51,652
16,3,11,"nFish, pointingArrows, removeByElements",4,93
16,3,13,"nFish, pointingArrows, removeByElements",0,18
16,4,1,"hiddenPairs, nFish, nakedPairs, pointingArrows",44003,79489
16,4,2,"hiddenPairs, nFish, nakedPairs, pointingArrows",18422,80362
16,4,4,"hiddenPairs, nFish, nakedPairs, pointingArrows",2285,5846
16,4,6,"hiddenPairs, nFish, nakedPairs, pointingArrows",501,1020
16,4,3,"hiddenPairs, nFish, nakedPairs, pointingArrows",6066,19293
16,4,5,"hiddenPairs, nFish, nakedPairs, pointingArrows",1075,2398
16,4,8,"hiddenPairs, nFish, nakedPairs, pointingArrows",202,362
16,4,9,"hiddenPairs, nFish, nakedPairs, pointingArrows",121,216
16,4,11,"hiddenPairs, nFish, nakedPairs, pointingArrows",40,60
16,4,13,"hiddenPairs, nFish, nakedPairs, pointingArrows",8,16
16,4,12,"hiddenPairs, nFish, nakedPairs, pointingArrows",19,47
16,4,7,"hiddenPairs, nFish, nakedPairs, pointingArrows",356,603
16,4,10,"hiddenPairs, nFish, nakedPairs, pointingArrows",75,132
16,4,1,"hiddenPairs, nFish, nakedPairs, removeByElements",45612,80477
16,4,2,"hiddenPairs, nFish, nakedPairs, removeByElements",19259,80412
16,4,4,"hiddenPairs, nFish, nakedPairs, removeByElements",2417,5832
16,4,6,"hiddenPairs, nFish, nakedPairs, removeByElements",506,1067
16,4,3,"hiddenPairs, nFish, nakedPairs, removeByElements",6370,19039
16,4,5,"hiddenPairs, nFish, nakedPairs, removeByElements",1112,2444
16,4,8,"hiddenPairs, nFish, nakedPairs, removeByElements",189,372
16,4,9,"hiddenPairs, nFish, nakedPairs, removeByElements",130,215
16,4,11,"hiddenPairs, nFish, nakedPairs, removeByElements",40,63
16,4,13,"hiddenPairs, nFish, nakedPairs, removeByElements",8,15
16,4,12,"hiddenPairs, nFish, nakedPairs, removeByElements",19,46
16,4,7,"hiddenPairs, nFish, nakedPairs, removeByElements",355,624
16,4,10,"hiddenPairs, nFish, nakedPairs, removeByElements",75,149
16,4,1,"hiddenPairs, nFish, pointingArrows, removeByElements",44092,78218
16,4,2,"hiddenPairs, nFish, pointingArrows, removeByElements",18548,79686
16,4,4,"hiddenPairs, nFish, pointingArrows, removeByElements",2352,5870
16,4,6,"hiddenPairs, nFish, pointingArrows, removeByElements",475,973
16,4,3,"hiddenPairs, nFish, pointingArrows, removeByElements",6272,19378
16,4,5,"hiddenPairs, nFish, pointingArrows, removeByElements",1081,2339
16,4,8,"hiddenPairs, nFish, pointingArrows, removeByElements",188,352
16,4,9,"hiddenPairs, nFish, pointingArrows, removeByElements",124,186
16,4,11,"hiddenPairs, nFish, pointingArrows, removeByElements",43,61
16,4,13,"hiddenPairs, nFish, pointingArrows, removeByElements",8,13
16,4,12,"hiddenPairs, nFish, pointingArrows, removeByElements",19,38
16,4,7,"hiddenPairs, nFish, pointingArrows, removeByElements",341,585
16,4,10,"hiddenPairs, nFish, pointingArrows, removeByElements",75,117
16,4,1,"nFish, nakedPairs, pointingArrows, removeByElements",43659,184099
16,4,2,"nFish, nakedPairs, pointingArrows, removeByElements",13320,82687
16,4,4,"nFish, nakedPairs, pointingArrows, removeByElements",1810,9031
16,4,5,"nFish, nakedPairs, pointingArrows, removeByElements",757,3786
16,4,6,"nFish, nakedPairs, pointingArrows, removeByElements",308,1753
16,4,3,"nFish, nakedPairs, pointingArrows, removeByElements",4768,25547
16,4,7,"nFish, nakedPairs, pointingArrows, removeByElements",128,875
16,4,12,"nFish, nakedPairs, pointingArrows, removeByElements",0,35
16,4,9,"nFish, nakedPairs, pointingArrows, removeByElements",16,208
16,4,10,"nFish, nakedPairs, pointingArrows, removeByElements",6,149
16,4,8,"nFish, nakedPairs, pointingArrows, removeByElements",43,500
16,4,11,"nFish, nakedPairs, pointingArrows, removeByElements",2,63
16,4,13,"nFish, nakedPairs, pointingArrows, removeByElements",0,8
16,5,1,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",38940,70428
16,5,2,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",16531,68685
16,5,4,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",2089,5064
16,5,6,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",473,903
16,5,3,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",5588,16700
16,5,5,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",982,2093
16,5,8,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",185,308
16,5,9,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",120,173
16,5,11,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",40,55
16,5,13,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",8,13
16,5,12,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",19,37
16,5,7,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",331,531
16,5,10,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",74,113
